label,review,split
1,learn stretched vp org make big difference,train
1,senior software engineer,train
1,work experience,train
0,standard tech brotopia,train
1,best,train
0,aware taking job,train
0,great company decline,train
1,experience,train
0,focus cost cutting,train
0,13 year mental torture extremely bad culture manager manipulate manage,train
0,great company awful medical insurer,train
1,trainer,train
1,fastpaced energetic entrepreneurial challenging fun place grow,train
1,nothing important moving fast,train
1,struggling break bureaucracy past,train
0,disappointed,train
0,customer relation advisor,train
0,operation manager,train
0,expect anyone help,train
0,amazon leave hanging,train
1,great starting job,train
0,apple store genius,train
1,mostly good would even better redmond,train
1,sale,train
1,google shopping express,train
0,extremely unpleasant experience,train
0,amazon fc high manager turnover,train
0,stay far away possible,train
0,sd associate l2,train
1,solution architect,train
1,great company terrible manager,train
0,retail slave,train
1,great company work fast paced environment help grow interpersonal skill,train
0,little worklife balance accountability,train
0,applecare soulsucking dreadful place,train
0,miserable,train
1,decent place fresher start,train
1,amazing place,train
1,operation technician,train
0,picker,train
1,amazing company best job ever,train
1,front end developer,train
1,expected,train
0,multicultural crowded net,train
1,network quantitative analyst,train
0,job definitely career,train
0,great fulltime employee horrible place contractor,train
1,biggest company available,train
1,good deal,train
1,good company bad division,train
0,associate,train
0,best company want work,train
0,starting rot,train
1,ok,train
1,enjoyed working apple,train
1,great company,train
0,many good great attribute many severely bad management practice,train
0,microsoft 2013,train
1,maybe greatest company generation,train
1,good culture nice people,train
1,ownership opportunity,train
0,associate,train
1,payroll analyst,train
0,easy,train
1,freedom integrity,train
0,ups down,train
0,itno life money hungry company care people management,train
0,please treat employee better,train
0,wonderful place retire,train
1,interesting challanges great people tangible impact,train
0,limited opportunity growth,train
1,aws bigdata,train
0,mundane business driven,train
1,program manager,train
1,amazon warehouse worker,train
1,microsoft review,train
0,icqa,train
1,great company,train
1,amazing place work enjoy,train
1,window app,train
1,good place start retail focused individual,train
1,fulfilment,train
0,picker,train
1,senior manager,train
0,recognition nonexistent compensation,train
1,loss prevention specialist,train
0,modern slavery,train
1,lot work,train
1,good company good benefit,train
1,application engineer,train
1,great benefit cool product great management,train
1,avm,train
0,copywriter,train
1,fraud specialist,train
0,3 year tier 1 review amazon,train
0,soul crushing adversarial culture,train
0,work life balance skill,train
1,seasonal sortation associate,train
0,beware trap called amazon screw professional personal healthy lifestyle,train
1,company inflection point happens next m sink swim,train
1,big company startup culture,train
1,good,train
0,tier 2 support,train
1,smart people passionate team,train
0,agricultural engineer,train
1,good bad meh,train
0,run fast another employer,train
0,fair,train
0,tempting however keep looking,train
0,excellent marketing employee bad hype,train
0,environment nightmare,train
0,wish management would get trained,train
0,yardmarshal,train
0,burn spit,train
1,great place work,train
0,picker,train
0,expected,train
0,modern day plantation,train
1,customer service agent,train
0,time marinatenot part recent rifs,train
1,great,train
1,business analyst,train
1,microsoft great company ballless managersdirectors,train
1,assistant vendor manager,train
1,production worker,train
1,challenging rewarding great people great company,train
0,senior product manager,train
1,test engineer,train
0,omr,train
1,best company worked,train
1,amazon fulfillment,train
0,onboarding specialist,train
1,graduate area manager,train
1,catalog specialist,train
1,veteran amazon,train
0,poor,train
1,good place working,train
1,pivotal experience overall positive,train
1,solid job,train
1,director,train
0,apple buy owns,train
0,good company lot work,train
0,keep eye open back covered trust one,train
1,great peer good perk moderate work life balance,train
1,great employer,train
0,amazon next cisco,train
0,stay away,train
0,lacking innovation,train
0,might concern operation manager inbound,train
1,seasonal work amazonfresh,train
0,amazon fulfillment review,train
1,great warehouse job,train
1,excellent place work,train
0,picker,train
1,amazon offer many great benefit,train
0,data associate,train
1,thankful work amazon,train
0,human robot,train
0,working withe microsoft always enriching experience,train
1,good culture,train
0,imbalance worklife super frugal customer product important employes life,train
0,senior software engineer,train
0,amazon,train
1,risk investigator,train
1,program manager,train
1,many change going time,train
1,warehouse associate,train
0,horrible company,train
0,avoid cost workaholic,train
1,gebuis,train
1,business devlopment role amazon specifically aws,train
0,apple austin apple cupertino,train
1,netflix finance,train
0,treat employee like customer,train
0,money company,train
1,fulfillment associate temporary position,train
1,inventory specialist,train
0,poor work life balance management,train
0,amazon plea,train
0,learn cost life,train
1,great company come reorg,train
0,work hard expect rewarded,train
1,would recommend working amazon,train
0,ops manager,train
0,support engineer,train
0,ok,train
0,depends looking,train
0,csr hillsboro call center,train
1,microsoft,train
0,previous fte 10 year,train
0,take everything great,train
1,good general,train
0,stack ranking performance review kill innovation motivation,train
0,support analyst,train
1,warehouse associate,train
0,sweat shop,train
1,executive assistant,train
1,great engineer marketing much,train
0,principal pm manager,train
0,terrible place work,train
0,glossiest deadend job ever,train
0,id rather die,train
0,ok looking waste time,train
0,smartest underpaid individual ever worked,train
1,company review,train
0,apple map,train
1,job opening,train
1,awesome company,train
0,corrupt plutocracy overrewards top cost everyone else including customer,train
0,lost sause,train
0,legal assistant,train
1,hard work great opportunity,train
1,working google,train
1,specialist,train
1,financial analyst,train
1,great first 20 year,train
1,amazon fresh associate,train
1,fantastic company,train
1,still one best company,train
0,good company start career,train
1,good place work,train
0,amazon,train
0,mehr schein al sein,train
0,great investment crappy place work,train
1,sdet,train
1,home specialist,train
1,apple,train
0,culture differs team team,train
1,software engineer,train
0,really bad management development plan,train
1,awesome place work,train
0,hr administrator,train
0,glass house,train
1,team lead,train
0,great lot energy give,train
0,management favourite even subtle,train
0,order support specialist,train
1,contractor,train
0,tough place work day,train
0,seven year apple,train
0,warehouse associate,train
1,software intern,train
1,warehouse job,train
1,good work hard,train
1,good growth oppotunities,train
1,google product manager,train
1,fun work hard make history,train
1,investigator intern,train
1,great company individual team may great,train
1,solid company,train
0,fullfillment associate,train
1,apple,train
1,sr catalog quality associate,train
0,retrenchment getting norm,train
1,area manager,train
0,good,train
1,amazing,train
1,awesome company start long term career,train
1,repetitive improvement fixing google map region world,train
0,life specialist,train
0,software engineer experience,train
0,operation,train
0,burn good people,train
1,programmer,train
0,beware,train
0,disability welcome,train
0,bad time sale org,train
1,tech,train
0,design researcher,train
0,hectic work environment,train
1,good time google lot lot thing great group product,train
1,good place career opportunity,train
0,amazon inflate number employee le hour work,train
1,smart people good leadership high salary many oppotunities,train
1,fulliment associate,train
0,fullfillment associate,train
0,fulfillment associate,train
0,retention company really low good reason,train
0,walking write,train
1,continual change,train
0,amazon area manager,train
0,review,train
1,customer service,train
1,amazing culture,train
1,great american institution built people cost saving,train
1,good place learn,train
1,great working place,train
0,information,train
0,last resort,train
0,left sooner,train
1,great place work role,train
1,hard problem good people,train
0,start hourly position take time upgrade internal promotion hard,train
1,good,train
1,fulfillment,train
1,warehouse associate,train
0,catalog associate,train
0,could better management,train
0,transaction risk management,train
1,former employee,train
1,fastpaced innovative,train
1,microsoft,train
1,amazing company,train
1,apple specialist,train
0,much mismanagement,train
1,fast paced technically challenging rewarding,train
1,operation manager,train
0,better,train
1,erc agent,train
1,great company,train
0,horrible,train
0,would pas could,train
0,waste timeseriously,train
1,content test associate,train
1,work hard fun make history,train
0,ups down management feel like strong definition going,train
1,pg,train
0,life changing experience fabulous product want work sale,train
1,vast opportunity within amazing company,train
0,candidate experience,train
0,amazon warehouse,train
0,roller coaster,train
1,awesome experience,train
1,warehouse associate,train
0,horrible experience look like mental hospital,train
0,designer,train
0,good experience poor culture,train
1,best place work period,train
0,technical acount manager,train
1,great place work,train
1,online support,train
0,amazon social club,train
1,web developer,train
1,sale associate,train
1,best work ever,train
1,former employee,train
0,avoid place,train
1,superbrand,train
0,stay far away amazon,train
0,wish could give negative star,train
1,excellent place work,train
0,selfish arrogant inexperienced middle manager,train
1,good place work,train
0,great salary bad culture,train
0,nice people low pay,train
1,great work well others,train
0,really expected,train
0,manager selection improvement,train
1,le growth stable company,train
0,made fun humiliated first day,train
0,sde,train
1,associate,train
0,area manager,train
1,na,train
0,growing fast losing track culture,train
1,knowledge school much work,train
1,data analyst,train
0,bezos moral drove,train
0,warehouse work,train
0,pa,train
0,analyst,train
1,used great company,train
0,sale job,train
0,better working fast food restaurant,train
1,fc associate,train
0,like direction company satya would like see filter middle management,train
0,project manager,train
1,awesome,train
0,packer,train
0,one worst job ever,train
0,toxic understatement,train
0,amazon warehouse associate review,train
1,transaction risk management service,train
1,family,train
1,great place work depending team,train
1,amazing,train
0,need major improvement,train
1,good fresher,train
1,great company great benefit,train
1,one best company,train
1,good company,train
1,good short term career,train
0,engineer,train
1,software engineer,train
1,great company,train
0,started well quickly went downhill fulfillment center,train
0,software engineer,train
1,customer service kindle na,train
1,poor antiharassment policy implementation rampant instance broculture,train
1,great start,train
1,nice underdog,train
1,great company,train
0,manager,train
0,inbound stowproblem solver,train
0,mess mess everywhere,train
1,amazon review,train
0,depends team manager,train
1,fun make history,train
1,email agent customer service,train
1,amazon,train
0,slow career bad management,train
1,bit old fashioned,train
0,case study difficult extend culture large company,train
0,look good resume,train
0,amazon zombie,train
0,let enthusiasm misguide,train
0,global talent acquisition partner,train
0,microsoft asia,train
0,packer,train
0,amazon fulfillment center,train
0,leading backwards,train
1,outstanding place,train
1,shift manager review,train
1,financial analyst,train
1,amazing amazon,train
1,great company work,train
0,unethical employer,train
1,software engineer,train
1,ux designer ii l5,train
0,racist undertone company,train
1,microsoft,train
0,great company terrible management,train
0,good company full politics,train
0,much politics,train
1,proud work,train
1,software development manager,train
1,product manager,train
1,m,train
0,fog,train
1,great place learn ecom,train
0,poorly run store,train
0,hard accelerate career,train
1,cloud support engineer,train
0,arrogante vorgesetzte und vorziehen von,train
0,get ready long hour,train
0,good company yesterday,train
1,excellant opportunity excel latest technology though intergroup cooperation abismal,train
1,career ruth apple,train
0,buyer,train
1,sde amazon,train
1,good beginning soo bad,train
1,personal viewpoint,train
1,always great place work,train
1,scared steady political,train
0,sw engineer,train
0,nice place learn,train
1,sr hardware manager,train
1,drink koolaid,train
0,associate,train
0,feedback,train
0,consultant,train
0,device associate,train
1,great company,train
0,still retail cheap,train
0,sort associate,train
0,good,train
1,risk analyst,train
1,warehouse,train
0,survival fittest,train
0,area manager,train
0,horticulturist,train
1,best retail employment experience handsdown,train
0,good place experienced engineer,train
1,area manager,train
1,business development executive,train
1,best retail,train
1,great company work,train
1,associate consultant charlotte nc,train
1,5 year employee,train
1,new grad sde package,train
1,great company,train
1,product advisor,train
1,microsoft company review,train
0,started great toward end much,train
0,worst employer whole career,train
0,bittersweet hard maintain work life balance,train
1,glassdoor terrific,train
0,recommended one,train
0,get comfortable,train
1,still one better one,train
1,one best place work,train
1,energetic always adapting change microsoft transforming,train
0,rush apply yet,train
0,angestellte werden f¹r dumm verkauft,train
0,picker,train
0,worst manager ever,train
1,search quality associate,train
1,good job great environment,train
0,tam,train
1,competitive rewarding,train
1,amazon 3,train
0,software engineer,train
1,exciting innovative company come cost,train
0,respect understanding family,train
0,pathetic work culture last mile delivery,train
1,great place work,train
0,easy job get,train
1,exciting good work team work hard,train
1,explosive opportunity,train
0,lot want leave,train
0,sdm supply demand management,train
1,sr analyst,train
1,good company work,train
1,ready change,train
0,hard inflexible solid,train
0,hr,train
1,company provides great environment work strong technical asset many challenge,train
1,great job,train
0,technical specialist,train
0,office politics biased attitude,train
0,used great political science academy ppt orgchart creator paradise,train
0,everyone must expert everything,train
0,sad state affair,train
0,another warehouse job,train
1,review amazon employee experience,train
1,icqa,train
0,workplace bullying,train
0,good company work,train
0,life within amazon,train
1,transaction eisk investigator,train
0,jeff make billion eat peanut,train
1,partner channel development manager,train
1,fun project good work life balance,train
1,software engineer,train
0,good benefit horrible culture environment,train
0,performance review process,train
0,maximum politics minimum capability,train
1,great company,train
0,company horrible,train
0,incredibly competitive,train
0,fairness,train
1,software engineer,train
1,really move fast keep,train
1,good experience,train
1,company make impact,train
1,depends group,train
1,software engineer,train
1,stower,train
1,commercial,train
1,seasonal fulfillment associate,train
1,ok company,train
0,ad rater,train
0,customer first expense employee,train
1,software engineer,train
1,wonderful company beware different location old boy club,train
0,manage limited manager,train
1,amazing workplace,train
0,applecare,train
1,great company work,train
1,benefit review,train
0,warehouse associate,train
0,growing fast keep,train
1,good place work full time good intern,train
1,good place work right school,train
1,software engineer,train
1,microsoft great company work many way internal culture good fit,train
1,learn lot know getting,train
1,perfect,train
0,thay keep people,train
1,awesome company,train
0,working amazon facility,train
0,great company issue,train
1,customer centric company world,train
0,little regard little guy,train
1,mba intern,train
0,good work experience bad management,train
0,m,train
1,good employer,train
1,business development manager,train
1,great company,train
1,great career outlook poor worklife balance,train
1,great place work,train
1,sort center,train
1,plentygoodnbad,train
1,great work setting amazon india,train
1,aws business development manager,train
1,good buy myth,train
0,sample,train
1,awesome great company department,train
0,aha applecare agent,train
1,management,train
1,system engineer,train
1,tpm,train
0,rf engineer,train
1,tiresome work culture,train
1,mobility hard work fun,train
0,lot hype substance lacking,train
1,good place slowly becoming big corp,train
0,fc associate,train
0,root evil performance review model,train
1,awesome place,train
0,terrible place work,train
1,depends team,train
1,good bad,train
0,make well,train
0,outbound pick,train
0,bad programmer,train
1,amazon,train
0,unrealistic expectation employee,train
1,company demonstrates value employee,train
1,overall great work experience,train
0,warehouse hand,train
0,homophobiaracismsexism,train
1,okay place work,train
0,right hand know left hand,train
0,amazon,train
0,outbound associate,train
0,amazon suck,train
0,modern day sweat shop,train
1,everyone,train
0,director,train
1,good place learn grow,train
0,appearance matter,train
0,review necessarily apple specific job currently stuck thankless job,train
0,apple used,train
1,amazon fulfilment associate,train
1,parttime,train
1,great student,train
1,cash money,train
0,great worklife balance,train
0,company transition,train
1,make good temporary job,train
1,positive experience great company work,train
0,managed supply chain module,train
1,day one amazon loving,train
0,fastpaced environment,train
1,feel like many different company within one huge company,train
0,burnout real,train
0,sick place,train
0,good place know exhibit,train
1,great place much responsibility,train
0,azure alliance director,train
1,great company work,train
1,amazon marketplace mexico,train
1,good company,train
0,apple retial,train
0,packer,train
0,awful,train
0,unwanted unloved make alot money,train
0,worst experience,train
1,front end engineer,train
0,warehouse associate,train
1,big company,train
1,software engineer,train
0,make work overly hard worklife balance,train
1,great place,train
0,work company,train
1,best place earth,train
0,nice people,train
1,retail store,train
1,overall experience,train
0,plain simple work year get,train
1,make impact fun,train
1,senior software engineer,train
1,great place learn move,train
0,linguistic tester,train
0,incredibly dysfunctional discriminatory,train
1,overly focused engineer cutthroat,train
1,great opportunity,train
1,great fun amazon,train
1,corporate culture spotty w ceo transition beware careerlongtime microsofties,train
0,sr hra,train
0,challenging mostly frustrating time little box job,train
1,awesome career experience,train
0,go,train
0,pa review,train
0,great place work walmart software,train
1,senior category merchant manager,train
1,partly good partly,train
1,great culture great place start career,train
1,used good place grow,train
1,overall great place work,train
1,great opportunity downside,train
1,great company,train
1,love,train
0,work,train
0,company simply big provide necessary individual attention career progression,train
1,big scale great people still big company,train
1,good job bad career,train
1,test repair department apple,train
0,procurement manager,train
1,business development specialist,train
0,microsoft,train
1,best place work,train
0,senior compliance associate,train
0,cutthroat,train
1,great opportunity political,train
1,google,train
1,associate,train
0,working amazon,train
0,favouritism zero support,train
1,engineer,train
0,big brother watching,train
0,cloud support associateengineer,train
0,advice stay away unless work manager high level role,train
0,horrible management,train
1,great place work,train
0,worst management good newbie seasoned professional favored,train
0,good company lot problem,train
1,good place work,train
0,place futuristic progressive manager,train
1,keep getting better,train
1,travailler chez apple un mythe,train
0,stower,train
0,company transition peopleemployees high priority,train
1,cult like,train
0,project manager,train
0,high turnover ot maybe unpaid voluntary time,train
0,good,train
0,picker packer,train
0,seasonal sorting associate dla4,train
0,software engineer,train
1,seasonal associate,train
1,uk dart,train
1,senior device associate,train
1,aha,train
0,good place entry expert level others,train
1,great company,train
0,simple application le stellar management,train
1,workathome,train
1,great environment still retail,train
0,giant company giant mess,train
0,used great place work go desperate,train
0,career path great perk,train
0,meh,train
1,qa engineer,train
1,euk5,train
1,wide scope freedom work,train
0,epg alliance manager,train
1,great pay bad career,train
1,fast paced quick living,train
0,great learning experience,train
0,principal engineering manager,train
1,catalog associate,train
0,microsoft retail,train
1,apple,train
1,fun,train
1,performance,train
0,arrogant culture collaboration bullying management equal opportunity employer,train
0,microsoft gtsc bangalore embassy golf link pathetic place term management politics,train
0,implementation company africa working well people like amazoncom leading,train
0,amazon worker,train
0,hated,train
0,sr human resource assistant,train
1,headed right direction,train
1,great working m,train
0,hard work low pay,train
0,great,train
0,worst place ever work apply amazon,train
0,great benefit environemnt much,train
1,good place short stay work,train
0,apple retail entirely separate entity,train
1,great retail job,train
0,thought would,train
1,onsite medical representative,train
1,good place work,train
1,itunes,train
1,warehouse associate,train
0,competitive environment,train
1,high volume call center,train
0,glass ceiling irony,train
1,great company,train
1,apple course awesome,train
0,customer service,train
1,great place work,train
1,good place work,train
0,apple retail great college kid adult professional,train
0,stay away,train
1,large company nice career opportunity,train
1,amazing place work,train
1,good benefit,train
0,smh,train
1,awesome,train
1,good,train
1,head,train
0,apple specialist,train
0,avoid place like plague,train
1,interesting challenging 7 year,train
0,research,train
0,assocate,train
1,system developer,train
0,corporate cog,train
0,political stale unimaginative,train
0,amazon,train
0,designer say amazon,train
1,long hour,train
0,admin,train
0,love hate time,train
0,fullfilment associate,train
0,disorganized warehouse,train
1,review,train
1,great company,train
1,specialist,train
0,area manager,train
0,horrible employer ruin life working,train
0,largest operation company,train
0,interesting wear comfortable shoe,train
0,care much employee,train
0,eh,train
0,solid pay 100 number based policy demanding management,train
1,5 star,train
1,great unless want make impact reach star,train
1,great company work,train
0,campus associate position,train
0,assistant manager,train
0,worst experience,train
1,care employee,train
1,wonderful work experience,train
0,would recommend horrible company low pay hard advance next level,train
0,culture,train
1,good benefit poor management,train
0,engineering manager,train
1,ship dock associate,train
1,best retail job,train
1,good place,train
1,identity crisis cost company people profit,train
1,work home csr,train
0,good place work,train
1,great place work depending,train
0,directionless ship,train
1,sde intern,train
1,buckle seat belt,train
0,review,train
0,con pro,train
1,csa,train
0,worst group microsoft msit aka idcso,train
1,great place work,train
1,great company ambitious people,train
1,okay job could lot better,train
0,amazon,train
0,beware,train
0,worked 3 week laid,train
0,work msft,train
0,management great neither pay job,train
0,packer,train
1,amazing company getting big bit bureaucratic time,train
1,amazing company,train
1,good place,train
1,want move start making connection within company,train
0,meh,train
0,stangnant,train
0,expect,train
1,heading great direction,train
1,amazing training,train
0,expectation compensation,train
0,horrible,train
0,done never going back,train
0,start good work,train
0,stay hydrated,train
1,good want ever create tech,train
0,increase fifteen dollar minimum wage,train
1,operation manager logistics,train
0,abusive hypercompetitive atmosphere,train
1,good giant company face many chanllenges,train
1,international project engineer 3,train
1,nice company change air,train
1,senior marketing manager,train
1,ask,train
0,work used standing 10 hour,train
1,associate,train
1,great place work,train
0,great benefit stimulating work environment politics performance stack ranking make challenging stay,train
0,tier 2 home advisor job going downhill fast,train
1,despite big phenomenal place learn grow,train
1,good company overall,train
1,sr software development engineer,train
1,great place work,train
0,via volt,train
0,bleed blue apple,train
1,software engineer,train
0,best college family,train
0,mac xpert,train
1,great company,train
1,good place learn trade,train
0,welcome new ibm,train
1,great learning experience,train
0,customer service agent,train
1,amazon,train
1,art director,train
1,amazing place work,train
0,operation specialist,train
0,meh,train
1,awesome place work much complain,train
0,hostile work environment,train
1,best company work,train
1,good company learn become professional,train
1,overall great opportunity experience,train
0,never,train
0,great experience,train
1,program manager,train
0,netflix teamlead amsterdam,train
1,great company work,train
1,poor management manager living company value,train
0,customer obsessed employee neglect,train
1,sde,train
1,nice place work,train
0,transparant policy double standard,train
0,great developer otherwise comfortable place waste life,train
1,amazon,train
1,good company lot smart people difficult make difference,train
0,inside sale emea chaos,train
1,software engineer google,train
1,bother unless looking fill gap,train
0,fulfillment associate,train
1,redzone support,train
1,genius,train
0,area manager,train
1,great company,train
1,awesome placebest career,train
1,great everyone,train
0,management nightmare,train
1,great overall depending geo,train
1,finding better job,train
0,associate vendor manager,train
1,cushy job uninspired culture,train
1,finance,train
1,great place work hard move,train
0,manager amazon,train
1,good learning experience,train
1,shabby recommend,train
1,enterprise architect,train
1,political,train
0,warehouse fulfillment outboundinbound,train
1,engineering program manager,train
0,great opportunity college,train
1,r life,train
1,microsoft,train
1,solid coding varied silod environment,train
0,great exposure variety business process product,train
0,software development engineer,train
0,versandmitarbeiter,train
0,area manager,train
0,glass ceiling unless political allegiance,train
0,picker,train
1,happy apple rsum,train
1,opportunity,train
1,referral program specialist,train
1,sr software engineer,train
1,mechanical engineer,train
0,program manager,train
0,hr,train
1,great work culture,train
1,review approve every post appears site case community see something suspic,train
0,place solo get rewarded,train
1,associate,train
0,former self,train
1,business manager,train
0,customer obsessed interest employee shockingly political,train
0,strong experience treat employee well,train
1,work culture,train
0,overworked bored,train
1,specialist,train
0,empoye beware favoritism ahead,train
1,amazing company work,train
0,terrible management top trickle,train
1,happy,train
0,amazon successful company,train
1,good first parttime job,train
1,join google,train
1,mac genius,train
1,salary,train
1,ab billing escalation agent,train
1,great culture great coworkers,train
0,work,train
0,io app reviewer,train
0,alright,train
1,work amazon,train
0,want put year done,train
0,thankless dogeatdog environment,train
1,exceptional work environment,train
1,5 year still going,train
0,capable change yet afraid,train
0,terrible company,train
0,worst,train
1,great work place work,train
0,good till bad,train
0,terrible place work,train
1,greate place work,train
1,good benefit infrastructure lot politics,train
0,bad job,train
0,design researcher,train
0,cloud support engineer glorified call centre name premium support,train
0,worst corporate culture america,train
0,forklift driver,train
0,vcssds,train
1,best company work,train
0,whatever,train
0,absolutely job security,train
0,definitely work hard hope make history fun,train
0,decent company poor management,train
1,get much put,train
1,great place impact,train
0,experience absolutely dreadful,train
0,good learning growth opportunity le experienced risk averse management toxic culture,train
0,good learning experience,train
0,brutal,train
1,software engineer,train
0,monotonous,train
0,good setup good compensation many frustrating issue deter anyone away job,train
0,used,train
0,stow,train
0,overworked jekyll hyde company double standard,train
0,microsoft ok place work,train
0,redzone specialist part time,train
0,good,train
1,great experience,train
